CircleName,Abbrev,LatLong
Madison,WIMA,43.0747080000/-89.3843050000

CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
124,40.0 Fahrenheit,44.0 Fahrenheit,Cloudy,Cloudy,None,Heavy,"Heavy
None",None
123,22.0 Fahrenheit,23.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
122,18.0 Fahrenheit,33.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
121,34.0 Fahrenheit,35.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
120,17.0 Fahrenheit,30.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,None
119,25.0 Fahrenheit,44.0 Fahrenheit,Clear,Clear,None,None,None,None
118,28.0 Fahrenheit,40.0 Fahrenheit,Clear,Clear,None,None,None,Light
117,7.0 Fahrenheit,17.0 Fahrenheit,Cloudy,Cloudy,"Light
None",None,Light,Heavy
116,11.0 Fahrenheit,27.0 Fahrenheit,Clear,Clear,None,None,None,None
115,26.0 Fahrenheit,31.0 Fahrenheit,Cloudy,Cloudy,Light,Light,None,None
114,10.0 Fahrenheit,23.0 Fahrenheit,Cloudy,Cloudy,None,None,None,Light
113,37.0 Fahrenheit,46.0 Fahrenheit,Local Fog,Local Fog,Light,Light,,
112, , ,,,,,,
111,8.0 Fahrenheit,18.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
110,26.0 Fahrenheit,30.0 Fahrenheit,Cloudy,Cloudy,None,None,None,Light
109,9.0 Fahrenheit,26.0 Fahrenheit,Partly Clear,Partly Clear,None,"Heavy
None",Light,Heavy
108,7.0 Fahrenheit,25.0 Fahrenheit,Partly Clear,Partly Clear,None,None,Light,Heavy
107,29.0 Fahrenheit,48.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,"Light
None",None,None
106,6.0 Fahrenheit,16.0 Fahrenheit,Clear,Clear,None,None,None,None
105,23.0 Fahrenheit,36.0 Fahrenheit,Partly Cloudy,Partly Cloudy,None,None,None,Light
103,31.0 Fahrenheit,38.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
102,25.0 Fahrenheit,40.0 Fahrenheit,Cloudy,Cloudy,None,None,None,None
101,23.0 Fahrenheit,32.0 Fahrenheit,Cloudy,Cloudy,None,None,Light,None
100,3.0 Fahrenheit,22.0 Fahrenheit,Clear,Clear,None,None,None,None
99,17.0 Fahrenheit,30.0 Fahrenheit,Clear,Clear,None,None,None,None
98,15.0 Fahrenheit,32.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
97,17.0 Fahrenheit,30.0 Fahrenheit,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
96,7.0 Fahrenheit,25.0 Fahrenheit,Clear,Clear,Unknown,Unknown,Unknown,Unknown
95,27.0 Fahrenheit,36.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
94,34.0 Fahrenheit,40.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
93,16.0 Fahrenheit,34.0 Fahrenheit,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
92,19.0 Fahrenheit,23.0 Fahrenheit,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
91,21.0 Fahrenheit,30.0 Fahrenheit,Foggy,Foggy,Unknown,Unknown,Unknown,Unknown
90,-8.0 ,10.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
89,11.0 ,21.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
88,30.0 ,37.0 ,Cloudy,Cloudy,None,Light,None,None
87,20.0 ,34.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
86,-16.0 ,12.0 ,Partly Clear,Partly Clear,Unknown,Unknown,Unknown,Unknown
85,31.0 ,38.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
84,-6.0 ,4.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
83,31.0 ,43.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
82,0.0 ,17.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
81,-3.0 ,14.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
80,28.0 ,46.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
72,8.0 ,22.0 ,Cloudy,Cloudy,None,None,Light,None
71,6.0 ,28.0 ,Cloudy,Cloudy,Unknown,Unknown,Unknown,Unknown
70,7.0 ,25.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
69,21.0 ,30.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
68,1.0 ,18.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
67,6.0 ,20.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
66,6.0 ,20.0 ,Partly Cloudy,Partly Cloudy,Unknown,Unknown,Unknown,Unknown
65,6.0 ,21.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
64,-10.0 ,9.0 ,Clear,Clear,Unknown,Unknown,Unknown,Unknown
63,26.0 ,30.0 ,Unknown,Unknown,None,None,Light,Light

CountYear5,LowTemp3,HighTemp2,AMCloud2,PMClouds2
Count Date: 12/22/1962
# Participants: 
# Species Reported: 
Total Hrs.: 69.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1963 [64]
Count Date: 12/21/1963
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1964 [65]
Count Date: 12/26/1964
# Participants: 
# Species Reported: 
Total Hrs.: 70.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1965 [66]
Count Date: 12/26/1965
# Participants: 
# Species Reported: 
Total Hrs.: 91.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1966 [67]
Count Date: 12/26/1966
# Participants: 
# Species Reported: 
Total Hrs.: 94.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1967 [68]
Count Date: 12/23/1967
# Participants: 
# Species Reported: 
Total Hrs.: 86.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1968 [69]
Count Date: 12/21/1968
# Participants: 
# Species Reported: 
Total Hrs.: 78.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1969 [70]
Count Date: 12/20/1969
# Participants: 
# Species Reported: 
Total Hrs.: 49.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1970 [71]
Count Date: 12/26/1970
# Participants: 
# Species Reported: 
Total Hrs.: 88.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1971 [72]
Count Date: 12/18/1971
# Participants: 
# Species Reported: 
Total Hrs.: 104.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1972 [73]
Count Date: 12/16/1972
# Participants: 
# Species Reported: 
Total Hrs.: 122.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1973 [74]
Count Date: 12/15/1973
# Participants: 
# Species Reported: 
Total Hrs.: 135.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1974 [75]
Count Date: 12/14/1974
# Participants: 
# Species Reported: 
Total Hrs.: 192.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1975 [76]
Count Date: 12/21/1975
# Participants: 
# Species Reported: 
Total Hrs.: 180.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1976 [77]
Count Date: 12/18/1976
# Participants: 
# Species Reported: 
Total Hrs.: 196.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1977 [78]
Count Date: 12/17/1977
# Participants: 
# Species Reported: 
Total Hrs.: 169.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1978 [79]
Count Date: 12/16/1978
# Participants: 
# Species Reported: 
Total Hrs.: 185.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1979 [80]
Count Date: 12/15/1979
# Participants: 
# Species Reported: 
Total Hrs.: 182.50",,,
"Greater White-fronted Goose
[Anser albifrons]","1980 [81]
Count Date: 12/20/1980
# Participants: 
# Species Reported: 
Total Hrs.: 189.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1981 [82]
Count Date: 12/19/1981
# Participants: 
# Species Reported: 
Total Hrs.: 202.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1982 [83]
Count Date: 12/18/1982
# Participants: 
# Species Reported: 
Total Hrs.: 233.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1983 [84]
Count Date: 12/17/1983
# Participants: 
# Species Reported: 
Total Hrs.: 190.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1984 [85]
Count Date: 12/15/1984
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1985 [86]
Count Date: 12/21/1985
# Participants: 
# Species Reported: 
Total Hrs.: 225.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1986 [87]
Count Date: 12/20/1986
# Participants: 
# Species Reported: 
Total Hrs.: 220.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1987 [88]
Count Date: 12/19/1987
# Participants: 
# Species Reported: 
Total Hrs.: 228.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1988 [89]
Count Date: 12/17/1988
# Participants: 
# Species Reported: 
Total Hrs.: 243.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1989 [90]
Count Date: 12/16/1989
# Participants: 
# Species Reported: 
Total Hrs.: 215.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1990 [91]
Count Date: 12/16/1990
# Participants: 
# Species Reported: 84
Total Hrs.: 179.75",,,
"Greater White-fronted Goose
[Anser albifrons]","1991 [92]
Count Date: 12/14/1991
# Participants: 
# Species Reported: 81
Total Hrs.: 218.75",,,
"Greater White-fronted Goose
[Anser albifrons]","1992 [93]
Count Date: 12/19/1992
# Participants: 
# Species Reported: 86
Total Hrs.: 276.75",,,
"Greater White-fronted Goose
[Anser albifrons]","1993 [94]
Count Date: 12/18/1993
# Participants: 
# Species Reported: 89
Total Hrs.: 229.50",,,
"Greater White-fronted Goose
[Anser albifrons]","1994 [95]
Count Date: 12/17/1994
# Participants: 
# Species Reported: 87
Total Hrs.: 266.50",,,
"Greater White-fronted Goose
[Anser albifrons]","1995 [96]
Count Date: 12/16/1995
# Participants: 
# Species Reported: 78
Total Hrs.: 241.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1996 [97]
Count Date: 12/21/1996
# Participants: 
# Species Reported: 78
Total Hrs.: 237.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1997 [98]
Count Date: 12/20/1997
# Participants: 
# Species Reported: 94
Total Hrs.: 240.50",,,
"Greater White-fronted Goose
[Anser albifrons]","1998 [99]
Count Date: 12/19/1998
# Participants: 
# Species Reported: 95
Total Hrs.: 257.00",,,
"Greater White-fronted Goose
[Anser albifrons]","1999 [100]
Count Date: 12/18/1999
# Participants: 
# Species Reported: 86
Total Hrs.: 247.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2000 [101]
Count Date: 12/16/2000
# Participants: 
# Species Reported: 81
Total Hrs.: 221.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2001 [102]
Count Date: 12/15/2001
# Participants: 
# Species Reported: 89
Total Hrs.: 237.25",,,
"Greater White-fronted Goose
[Anser albifrons]","2002 [103]
Count Date: 12/14/2002
# Participants: 
# Species Reported: 85
Total Hrs.: 249.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2004 [105]
Count Date: 12/18/2004
# Participants: 41
# Species Reported: 84
Total Hrs.: 223.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2005 [106]
Count Date: 12/17/2005
# Participants: 53
# Species Reported: 84
Total Hrs.: 181.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2006 [107]
Count Date: 12/16/2006
# Participants: 66
# Species Reported: 89
Total Hrs.: 222.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2007 [108]
Count Date: 12/15/2007
# Participants: 91
# Species Reported: 85
Total Hrs.: 193.95",,,
"Greater White-fronted Goose
[Anser albifrons]","2008 [109]
Count Date: 12/20/2008
# Participants: 81
# Species Reported: 83
Total Hrs.: 224.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2009 [110]
Count Date: 12/19/2009
# Participants: 110
# Species Reported: 93
Total Hrs.: 252.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2010 [111]
Count Date: 12/18/2010
# Participants: 91
# Species Reported: 83
Total Hrs.: 229.75",cw,0.0000,
"Greater White-fronted Goose
[Anser albifrons]","2011 [112]
Count Date: 12/17/2011
# Participants: 98
# Species Reported: 93
Total Hrs.: 247.90",1,0.0040,
"Greater White-fronted Goose
[Anser albifrons]","2012 [113]
Count Date: 12/15/2012
# Participants: 91
# Species Reported: 87
Total Hrs.: 232.42",,,
"Greater White-fronted Goose
[Anser albifrons]","2013 [114]
Count Date: 12/14/2013
# Participants: 116
# Species Reported: 77
Total Hrs.: 228.80",,,
"Greater White-fronted Goose
[Anser albifrons]","2014 [115]
Count Date: 12/20/2014
# Participants: 108
# Species Reported: 92
Total Hrs.: 262.30",1,0.0038,"US,"
"Greater White-fronted Goose
[Anser albifrons]","2015 [116]
Count Date: 12/19/2015
# Participants: 114
# Species Reported: 90
Total Hrs.: 236.45",,,
"Greater White-fronted Goose
[Anser albifrons]","2016 [117]
Count Date: 12/17/2016
# Participants: 105
# Species Reported: 89
Total Hrs.: 227.65",,,
"Greater White-fronted Goose
[Anser albifrons]","2017 [118]
Count Date: 12/16/2017
# Participants: 120
# Species Reported: 97
Total Hrs.: 283.90",4,0.0141,"US,HC,"
"Greater White-fronted Goose
[Anser albifrons]","2018 [119]
Count Date: 12/15/2018
# Participants: 121
# Species Reported: 94
Total Hrs.: 278.75",,,
"Greater White-fronted Goose
[Anser albifrons]","2019 [120]
Count Date: 12/14/2019
# Participants: 130
# Species Reported: 91
Total Hrs.: 349.05",,,
"Greater White-fronted Goose
[Anser albifrons]","2020 [121]
Count Date: 12/19/2020
# Participants: 159
# Species Reported: 97
Total Hrs.: 399.00",,,
"Greater White-fronted Goose
[Anser albifrons]","2021 [122]
Count Date: 12/18/2021
# Participants: 121
# Species Reported: 96
Total Hrs.: 351.45",,,
"Greater White-fronted Goose
[Anser albifrons]","2022 [123]
Count Date: 12/17/2022
# Participants: 212
# Species Reported: 98
Total Hrs.: 414.11",12,0.0290,"HC,"
"Greater White-fronted Goose
[Anser albifrons]","2023 [124]
Count Date: 12/16/2023
# Participants: 221
# Species Reported: 94
Total Hrs.: 381.00",,,
"Snow Goose
[Chen caerulescens]","1946 [47]
Count Date: 12/24/1946
# Participants: 
# Species Reported: 
Total Hrs.: ",,,
"Snow Goose
[Chen caerulescens]","1950 [51]
Count Date: 12/29/1950
# Participants: 
# Species Reported: 
Total Hrs.: 22.00",,,
"Snow Goose
[Chen caerulescens]","1951 [52]
Count Date: 12/30/1951
# Participants: 
# Species Reported: 
Total Hrs.: 50.00",,,
"Snow Goose
[Chen caerulescens]","1952 [53]
Count Date: 12/21/1952
# Participants: 
# Species Reported: 
Total Hrs.: 45.00",,,
"Snow Goose
[Chen caerulescens]","1953 [54]
Count Date: 1/2/1954
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",,,
"Snow Goose
[Chen caerulescens]","1954 [55]
Count Date: 12/26/1954
# Participants: 
# Species Reported: 
Total Hrs.: 83.00",,,
"Snow Goose
[Chen caerulescens]","1955 [56]
Count Date: 12/26/1955
# Participants: 
# Species Reported: 
Total Hrs.: 79.00",,,
"Snow Goose
[Chen caerulescens]","1956 [57]
Count Date: 12/22/1956
# Participants: 
# Species Reported: 
Total Hrs.: 99.00",,,
"Snow Goose
[Chen caerulescens]","1957 [58]
Count Date: 12/21/1957
# Participants: 
# Species Reported: 
Total Hrs.: 116.00",,,
"Snow Goose
[Chen caerulescens]","1958 [59]
Count Date: 12/20/1958
# Participants: 
# Species Reported: 
Total Hrs.: 95.00",,,
"Snow Goose
[Chen caerulescens]","1959 [60]
Count Date: 12/26/1959
# Participants: 
# Species Reported: 
Total Hrs.: 82.00",,,
"Snow Goose
[Chen caerulescens]","1960 [61]
Count Date: 12/26/1960
# Participants: 
# Species Reported: 
Total Hrs.: 93.00",,,
"Snow Goose
[Chen caerulescens]","1961 [62]
Count Date: 12/23/1961
# Participants: 
# Species Reported: 
Total Hrs.: ",,,
"Snow Goose
[Chen caerulescens]","1962 [63]
Count Date: 12/22/1962
# Participants: 
# Species Reported: 
Total Hrs.: 69.00",,,
"Snow Goose
[Chen caerulescens]","1963 [64]
Count Date: 12/21/1963
# Participants: 
# Species Reported: 
Total Hrs.: 65.00",,,
"Snow Goose
[Chen caerulescens]","1964 [65]
Count Date: 12/26/1964
# Participants: 
# Species Reported: 
Total Hrs.: 70.00",,,
"Snow Goose
[Chen caerulescens]","1965 [66]
Count Date: 12/26/1965
# Participants: 
# Species Reported: 
Total Hrs.: 91.00",,,
"Snow Goose
[Chen caerulescens]","1966 [67]
Count Date: 12/26/1966
# Participants: 
# Species Reported: 
Total Hrs.: 94.00",,,
"Snow Goose
[Chen caerulescens]","1967 [68]
Count Date: 12/23/1967
# Participants: 
# Species Reported: 
